CID,INTENSITY,PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
126,35.529411765,48.956521739,0.63043478261,24.347826087,6.2391304348,0.28260869565,1.6086956522,3.652173913,4,7.5,1.5869565217,2.847826087,0.91304347826,8.3043478261,1.5,1.8043478261,4.9782608696,1.2608695652,1.347826087,9.2608695652,14.239130435
176,18.785714286,48.461538462,2.5384615385,6.6923076923,1.2307692308,0,7.1923076923,8.2307692308,5.7692307692,15.307692308,3.8461538462,3.5,4.2307692308,6.7692307692,7.1538461538,3.6153846154,3.0384615385,1.8076923077,1.9615384615,4.1153846154,3.3846153846
177,42.894736842,45.315789474,8.4210526316,20.078947368,1.7631578947,0,0.63157894737,2.5,7,10.447368421,0.92105263158,4.4473684211,4.5263157895,3.4210526316,1.9473684211,3.7894736842,3.2631578947,1.0263157895,4,2.1842105263,18.789473684
196,14.652173913,53.21875,1.75,18.3125,1.3125,0,1.90625,6.15625,5.5625,6.21875,3.6875,3.21875,9.4375,6.78125,6.09375,2.78125,6.90625,1.1875,2.21875,9.625,7.75
239,35.75862069,51.351351351,0.67567567568,8.5675675676,2.3513513514,1,2.3513513514,2.7297297297,7.1891891892,7.2972972973,3.4864864865,3.8918918919,3.9189189189,5.2432432432,0.54054054054,0.18918918919,3.3243243243,4.8918918919,6.8648648649,5.7837837838,10.486486486
240,77.489795918,61.87755102,17.408163265,43.265306122,28.489795918,0.40816326531,0.020408163265,6.3673469388,5.5510204082,2.8571428571,0.44897959184,2.306122449,6.6734693878,3.3265306122,0.081632653061,3.0816326531,0.22448979592,0.22448979592,1.7551020408,13.551020408,19.591836735
241,12.086956522,50.52173913,2.4347826087,7.1739130435,0.39130434783,0,1.4782608696,3.3913043478,1.1739130435,4.0434782609,6,1.7826086957,4.5652173913,10.434782609,5.4347826087,3.4347826087,0.47826086957,0,0.65217391304,6.4347826087,20.391304348
244,45.674418605,46.583333333,1.0625,22.375,13.666666667,2.3333333333,2.1041666667,6.6041666667,7.8541666667,3.3125,2.6875,10.645833333,4.625,6.5208333333,0.89583333333,6.25,4.8541666667,1.4791666667,0.020833333333,7.125,32.75
261,83.416666667,18.270833333,0.95833333333,0.97916666667,0.14583333333,3.7708333333,5.2708333333,6.0625,1.1666666667,23.8125,8.2708333333,10.958333333,4.7083333333,21.354166667,10.958333333,13.25,15.1875,1.3541666667,1.7083333333,0.95833333333,20.395833333
263,14.958333333,41.8,2.56,8.24,1.76,0.68,5.2,4.96,2.24,18.56,1.56,2.48,4.24,8,4.32,3.4,2.88,0.92,4.64,3,5
311,15.785714286,53.038461538,4.3461538462,16.807692308,0.46153846154,1.5384615385,3.4615384615,4.4230769231,10.346153846,14.730769231,2.8846153846,6.3461538462,7.1153846154,5.8461538462,2.1538461538,4.0384615385,1.5384615385,6.0384615385,2.1538461538,2.7692307692,13.423076923
325,29,32.363636364,2.5227272727,2.4318181818,0.022727272727,4.8863636364,2.1363636364,23.613636364,5.3409090909,5.9090909091,6.2045454545,15.340909091,5,7.6363636364,4.5909090909,9.25,7.2045454545,2.9090909091,4.3181818182,1.75,16.045454545
326,57.046511628,50.465116279,5.3255813953,4.3488372093,1.488372093,2.4186046512,6.6046511628,24.697674419,0.093023255814,8,4.3255813953,1.0697674419,11.837209302,9.2558139535,0.06976744186,0.97674418605,4.2093023256,3.6976744186,2,3.5348837209,7.1162790698
356,14.866666667,54.617021277,1.4680851064,23.553191489,12.659574468,0.021276595745,1.9787234043,4.3617021277,9.6170212766,5.2765957447,0.40425531915,8.7021276596,4.2127659574,2.0638297872,0.55319148936,6.4042553191,4.0212765957,0.021276595745,0.53191489362,3.6595744681,24.404255319
379,68.488372093,26.697674419,0.046511627907,0.046511627907,2.5581395349,0.74418604651,3.6976744186,1.3255813953,2.3953488372,11.302325581,8.1627906977,6.3720930233,4.511627907,16.837209302,6.0465116279,3.6744186047,8.4186046512,4,0.60465116279,0.046511627907,25.11627907
460,59.662790698,38.817204301,4.0107526882,10.301075269,0.81720430108,2.1612903226,1.6989247312,7.064516129,5.3333333333,5.3225806452,8.4193548387,5.5806451613,4.8817204301,6.5053763441,2.4623655914,2.6021505376,4.0107526882,2.1827956989,4.0752688172,6.7956989247,21.064516129
650,80.5625,26.270833333,1.4166666667,2.7916666667,2.3125,0.020833333333,3.0208333333,7.7708333333,5.5,27.583333333,5.5,10.729166667,6.4583333333,14.208333333,9.2708333333,12.708333333,4.0833333333,2.9583333333,2.0416666667,0.1875,26.645833333
660,73.265306122,64,13.795918367,33.918367347,7.1632653061,0.020408163265,0.020408163265,14.755102041,6.5306122449,4.9183673469,2.9387755102,3.8571428571,8.306122449,7.9387755102,1.0204081633,3.3469387755,1.8367346939,3.9183673469,2.306122449,14.673469388,12.93877551
807,31.095238095,15.021276596,0.021276595745,0.021276595745,0.021276595745,1.9574468085,3.6595744681,5.914893617,8.4468085106,14.212765957,7.914893617,19.829787234,4.085106383,10.893617021,8.5319148936,15.617021277,14.382978723,0.44680851064,0.51063829787,0.021276595745,30.191489362
875,31.071428571,47.970588235,5.0882352941,9.3823529412,0.88235294118,0,3.0294117647,6.7941176471,2,9.6470588235,4.5882352941,13.441176471,4.1764705882,4.0882352941,4.2647058824,6.5,2.9117647059,4.5882352941,0.64705882353,1.9411764706,17.088235294
887,19.052631579,39.137931034,0.34482758621,5.275862069,0.65517241379,3.275862069,7.4137931034,9.0344827586,4.4827586207,7.724137931,6.5172413793,9.2413793103,6.9655172414,11.379310345,9.4827586207,3.5172413793,5.4137931034,5.6206896552,2.7586206897,5.8620689655,10.034482759
957,65.291666667,50.75,0.041666666667,11.9375,8.9583333333,0.041666666667,0.33333333333,1.4791666667,10.3125,8.2083333333,3.9375,10.458333333,1,10.25,1.1041666667,7.5833333333,1.75,2.7083333333,3.6875,9.0416666667,28.645833333
994,40.048387097,42.630434783,5.5108695652,15.717391304,2.9130434783,1.0652173913,2.4456521739,4.3260869565,3,7.0869565217,15.076086957,2.6413043478,9.1195652174,10.967391304,2.6847826087,3.7065217391,2.7608695652,2.5543478261,0.72826086957,4.9891304348,8.8804347826
1001,65.404255319,28.425531915,0.042553191489,3.4893617021,1.4042553191,22.872340426,4.6595744681,3.2340425532,2.7021276596,19.382978723,4.8723404255,6.5106382979,7.5106382979,14.808510638,9.4893617021,6.9787234043,11.680851064,3.4893617021,3.170212766,8.085106383,14.829787234
1032,27.08988764,39.222222222,1.3703703704,4.8148148148,2.462962963,1.0925925926,4.3888888889,4.962962963,2.6481481481,22.555555556,2.6851851852,5.0555555556,4.3518518519,12.759259259,5.2777777778,2,1.7222222222,1.4814814815,1.037037037,2.0185185185,13.425925926
1049,16.682926829,49.545454545,6.5909090909,11.5,5.5909090909,0,7.2727272727,12.818181818,6.5454545455,15.818181818,2.8636363636,6.5909090909,2.3181818182,8.4545454545,3.1818181818,4.9545454545,1.5909090909,4.5454545455,1.9090909091,0.36363636364,5.1363636364
1068,54.133333333,35.044444444,2.4444444444,8.1111111111,4.9333333333,6.8,4.8666666667,10.4,4.2666666667,14.311111111,0.42222222222,2.8,2.8,7.1111111111,7.2,2.9555555556,17.377777778,1.5777777778,5.6,1.6666666667,6.0666666667
1110,32.666666667,33.41025641,0.12820512821,2.6153846154,0.61538461538,2.0769230769,5.5384615385,4.1282051282,2.6153846154,15.461538462,4.7179487179,4.6666666667,3.1025641026,17.897435897,10.692307692,2.5384615385,2.5641025641,3.1025641026,0.51282051282,0.41025641026,16.051282051
1136,73.0625,30.854166667,5.9583333333,2.0208333333,0,4.5,13.208333333,9.875,1.6458333333,7.2708333333,9.9166666667,4.0625,10.729166667,7.8333333333,3.7708333333,10.145833333,7.1041666667,4.1458333333,4.1875,0.8125,7.4166666667
1183,77.291666667,85.553191489,47.468085106,68.127659574,7.4255319149,0.021276595745,0.021276595745,13,0.89361702128,0.65957446809,1.4893617021,0.021276595745,19.70212766,0.51063829787,0.021276595745,0.021276595745,0.021276595745,1.3404255319,0.6170212766,5.8085106383,1.5957446809
2214,37.5,45.829787234,4.9787234043,10.914893617,4.3191489362,0.25531914894,3.2765957447,10.425531915,2.2978723404,9.5106382979,13.170212766,3.7021276596,10.978723404,7.7021276596,0.63829787234,2.6595744681,3.6382978723,5.6170212766,4.2127659574,3.9574468085,14.680851064
2345,21.095238095,48.266666667,0.022222222222,14.177777778,5.1555555556,2.4222222222,1.0666666667,3.2222222222,7.2,6.3777777778,2.7777777778,2.0222222222,5.8888888889,9.8666666667,2.2222222222,4.8,1.7777777778,1.7111111111,0.022222222222,15.688888889,19.733333333
2346,82.204081633,14.326530612,2.6530612245,1,0.14285714286,5.2040816327,5.4489795918,7.6734693878,1.7551020408,17.285714286,20.12244898,11.428571429,6.7551020408,16.693877551,10.714285714,10,12.693877551,4.2448979592,4.4489795918,3.4285714286,15.163265306
2758,71.468085106,61,2.8085106383,12.829787234,4.6595744681,0.021276595745,0.55319148936,6.085106383,13.808510638,3.4042553191,1.5744680851,6.7872340426,8.3617021277,3.4042553191,1.2340425532,4.5319148936,2.0212765957,0.021276595745,5.8723404255,13.361702128,30.382978723
2879,80.916666667,33.083333333,0.58333333333,4.4166666667,2.125,0.72916666667,0.77083333333,4.8125,8.6458333333,6.625,10.645833333,9.7708333333,7.8333333333,15.75,5.3125,13.270833333,10.854166667,2.4791666667,1.1041666667,2.375,31.25
2969,50.795454545,29.166666667,0.020833333333,2.6458333333,0.020833333333,1.2916666667,4,3.125,6.0833333333,8.5416666667,7.25,13.479166667,9.3125,11.541666667,7.5,7.3958333333,2.8333333333,11.354166667,2.0208333333,2.0416666667,26.520833333
3776,10.235294118,41.764705882,5.2941176471,1.5294117647,0,0.76470588235,4.7058823529,7.4117647059,5.1176470588,6.2352941176,5.3529411765,9.9411764706,6.7058823529,10.529411765,4.8235294118,2.3529411765,3.1764705882,4.5294117647,2.7058823529,0,13.235294118
3893,31.053571429,29.445652174,0.010869565217,2.1847826087,0.22826086957,0.30434782609,3.097826087,2.9130434783,4.0760869565,13.641304348,10.152173913,10.967391304,7.0108695652,14.445652174,7.4565217391,8.597826087,3.3804347826,7.4347826087,1.3152173913,2.6086956522,28.608695652
4133,73.367346939,59.714285714,1.1020408163,25.571428571,3.4285714286,0.020408163265,0.020408163265,10.632653061,11.408163265,3.7959183673,0.71428571429,3.1020408163,5.5102040816,0.020408163265,0.87755102041,4.8979591837,1.6326530612,0.18367346939,4.2857142857,5.7551020408,22.836734694
5541,45.658536585,34.12195122,3.5609756098,4.3414634146,1.9756097561,2.0243902439,3.1463414634,6.7804878049,1.5609756098,31.292682927,4.4390243902,14.024390244,5.6585365854,5.8780487805,4.4146341463,3.8048780488,0.31707317073,0.63414634146,0.26829268293,0.41463414634,8.1707317073
5610,23.25,30.825,0.375,3.875,0.225,0,0,2.275,1.25,5.225,13.975,11.55,5.8,5.025,2.45,18.075,3.825,0,0,2.55,24.65
5779,40.181818182,67.836734694,19.775510204,45.448979592,3.4489795918,0.24489795918,2.7959183673,6.5102040816,7.0408163265,5.3673469388,13.326530612,3,15.06122449,2.0408163265,0.28571428571,1.612244898,2.2244897959,1.5510204082,1.8367346939,4.3265306122,5.306122449
5780,38.259259259,28.553191489,4.1276595745,3.2127659574,1.0212765957,7.0425531915,11.617021277,7.170212766,1.0212765957,11.680851064,24.212765957,5.7659574468,6.2340425532,12.808510638,7.8510638298,7.5531914894,18,2.7872340426,2.5531914894,2.7446808511,8.1276595745
5950,15.47826087,54.448275862,7.4482758621,21.724137931,12.379310345,0.68965517241,3.2413793103,4.2068965517,3.7586206897,2.8620689655,4.275862069,5.4137931034,9.0689655172,4.6551724138,1.6896551724,1.7586206897,1.0689655172,4.275862069,0.58620689655,10.206896552,3.5862068966
5960,22.65,32.744680851,6.3617021277,4.5106382979,0.63829787234,0.89361702128,2.2340425532,7.7446808511,9.3191489362,10.042553191,6.5957446809,9.6808510638,1.6808510638,10.382978723,7.2765957447,9.085106383,10.872340426,3.3617021277,0.46808510638,0.1914893617,16.872340426
5961,28.842105263,47.947368421,4.8947368421,9.9473684211,0.63157894737,2,1.7368421053,11.578947368,2.8421052632,8.2105263158,2.7894736842,4.3684210526,0.63157894737,6.7894736842,5.1578947368,0,3.1052631579,6.8421052632,9.6842105263,3.5263157895,6.2631578947
6050,69.630434783,22.804347826,0.69565217391,0.82608695652,0.17391304348,4.9782608696,5.1739130435,1.1086956522,2.9347826087,24.847826087,3.2173913043,8.2826086957,5.8260869565,20.413043478,14.282608696,7.2173913043,14.739130435,5.347826087,3.8043478261,2.9347826087,9.0434782609
6054,72.857142857,51.346938776,0.26530612245,18.632653061,5.2448979592,0.020408163265,0.26530612245,6.4897959184,1.2653061224,5.3673469388,3.1632653061,5.7142857143,7.5102040816,10.632653061,5.387755102,6.306122449,4.0816326531,4.0612244898,7.9183673469,30.408163265,14.714285714
6057,29.954545455,45.227272727,0,7.5,0.68181818182,0,0,3.5454545455,9.0909090909,7.5454545455,7.7272727273,2.4090909091,4.3636363636,10.590909091,1.6818181818,3.3636363636,5.1363636364,11.454545455,1.5,3.3181818182,10.454545455
6106,47.657142857,22.104166667,3.25,5.125,2.0208333333,1.6875,3.1458333333,5.4375,0.83333333333,22.875,3.7083333333,6.1875,10.020833333,18.041666667,20.520833333,7.8333333333,21.3125,4.5416666667,1.8125,1.3125,10.625
6140,28.034482759,39.516129032,3.7096774194,8.2580645161,3.2258064516,1.6451612903,4.9677419355,5.3225806452,4.3225806452,16.35483871,2.3548387097,2.4516129032,5.5806451613,16.35483871,7.3870967742,6.8387096774,3.4516129032,1.9032258065,7.3225806452,2.8387096774,10.387096774
6184,61.985074627,21.367346939,0.20408163265,0.10204081633,1.3265306122,2.8163265306,0.81632653061,4.2857142857,5.1224489796,16.12244898,7.306122449,7.1224489796,6.8367346939,17.265306122,7.8163265306,10.775510204,12.469387755,6.6530612245,1.8571428571,0.16326530612,24.653061224
6213,23.523809524,60.764705882,13.235294118,29.735294118,2.1764705882,0,2.6176470588,7.4411764706,2.5,0.47058823529,9.3529411765,3.3823529412,10.088235294,5.1764705882,0,0.088235294118,0,6.3235294118,1.9411764706,9.5588235294,3
6276,66.657142857,25.114285714,0.028571428571,2.8857142857,1.2857142857,1.8571428571,2.2857142857,5.7142857143,6.8,18.257142857,3.9428571429,7.4,1.7714285714,22.628571429,18.342857143,14.171428571,12.714285714,4.4,2.2,0.22857142857,7.4571428571
6287,31.75,37.394736842,5.3947368421,7.3421052632,0.052631578947,0.73684210526,3.7368421053,3.6578947368,4.5526315789,1.7368421053,6.4210526316,1.2368421053,9.6842105263,13.184210526,10.947368421,4.3157894737,2.6578947368,4.6578947368,3.6578947368,3.4473684211,6.7368421053
6374,69,31.530612245,0.12244897959,2.7755102041,2.0408163265,3.0204081633,1.1632653061,3.8367346939,4.5102040816,9.7346938776,5.4489795918,16.571428571,5.5510204082,8.8367346939,2.2448979592,13.183673469,3.2653061224,2.4897959184,0.40816326531,3.8163265306,45.93877551
6448,34.756097561,46.780487805,0.58536585366,6.1707317073,2.3170731707,0.31707317073,3.2926829268,5.0975609756,10.536585366,4.8780487805,1.8780487805,8.0975609756,4.9268292683,7.3414634146,0.85365853659,8.1951219512,4.1951219512,3.1463414634,1.5853658537,6.8292682927,21.024390244
6501,37.804347826,60.606060606,5.3939393939,28.727272727,14.151515152,2.5151515152,2.303030303,3.3636363636,4,5.9393939394,1.8787878788,0.27272727273,6.9393939394,6.303030303,2.9696969697,4.7878787879,1.5454545455,1.7272727273,1.6363636364,13.303030303,9.2727272727
6505,6.9333333333,42.066666667,5.0333333333,3.1,0.033333333333,2.8333333333,6.2333333333,7.1,6.1666666667,11.1,4.6,4.8666666667,5.5333333333,9.9333333333,5.9333333333,5.2666666667,1.6333333333,5.7,0.8,0.033333333333,13.066666667
6549,63.911111111,73.066666667,3.8444444444,31.844444444,17.977777778,0.95555555556,2.6,6.9333333333,6.3555555556,3.7777777778,1.7333333333,1.4888888889,9.5777777778,1.9555555556,0.71111111111,2.3777777778,0.22222222222,1.2666666667,3.4666666667,23.844444444,10.422222222
6560,46,36.566666667,3.9333333333,7.2,1.8666666667,0,1.2666666667,5.0333333333,5.6333333333,4.6,3.8333333333,10.466666667,4.9333333333,10.6,12.4,2.8,0.9,0.56666666667,1.8,0.66666666667,19.233333333
6569,33.486486486,41.864864865,2.3783783784,7.4324324324,1.4054054054,1.3783783784,5.2162162162,8.6486486486,5.9189189189,9.7027027027,5.2972972973,7.0810810811,0.89189189189,8.5675675676,7.2162162162,3.7297297297,1.8918918919,2.8648648649,3.5135135135,3.4324324324,19.027027027
6584,27.05,25.844444444,0,1.3111111111,0.37777777778,0.2,5.4222222222,6.0444444444,4.0222222222,18.244444444,1.4666666667,12.4,2.8444444444,7.7777777778,9.4666666667,7.5777777778,5.7333333333,3.0888888889,0.44444444444,0.088888888889,28.244444444
6590,45.31147541,24.925,1.525,5.65,4.775,0.7,2.175,4.975,1.225,16.875,3.475,2.425,7.325,15.975,12.075,5.775,13.475,2.725,0,2.7,6.15
6658,53.575,40.175,0.6,6.275,4.375,1.825,7.075,7.275,5.725,9.15,3.5,9.9,7.675,11.4,3.95,5.6,1.275,7.225,4.65,6.575,19.1
6753,29.590909091,57.818181818,6.4090909091,15.545454545,1.5909090909,0,2.1818181818,0.40909090909,3.6363636364,12.318181818,1.3636363636,4,6.1818181818,10.863636364,1.2272727273,0,0.31818181818,3.0454545455,0.40909090909,8.0909090909,7.7272727273
6920,38.047619048,46.666666667,9.1538461538,10.820512821,2.9230769231,0,0.48717948718,4.7948717949,1.1025641026,5.1794871795,5.2051282051,4.7692307692,3.641025641,12.102564103,2.9743589744,1.8461538462,2.1538461538,6.1025641026,3.1794871795,3.9743589744,9.6666666667
6943,84.0625,29.25,0.041666666667,2.2708333333,0.16666666667,0.91666666667,2.4583333333,12.645833333,5.875,7,14.645833333,15.416666667,2.7291666667,2.9375,2.75,12.229166667,2.8541666667,3.6875,0.041666666667,0.041666666667,56.0625
6997,84.06122449,30.265306122,2,10.183673469,4.1224489796,0.020408163265,0.081632653061,2.7755102041,8.1020408163,4.9591836735,10.081632653,15.346938776,7.2857142857,11.12244898,0.44897959184,12.918367347,2.4489795918,3.1428571429,1.3469387755,5.7142857143,52.632653061
6998,78.382978723,29.659574468,0.021276595745,4.1063829787,3.3404255319,0.021276595745,0.87234042553,4.8510638298,10.14893617,4.5531914894,16.085106383,16.872340426,8.0425531915,2.2765957447,1.6170212766,10.893617021,1.2340425532,5.2978723404,0.021276595745,1.5319148936,35.957446809
7059,68.574468085,36.744680851,3.0638297872,7.7021276596,4.0425531915,0,0.72340425532,4.7446808511,4.4042553191,6.7021276596,4.1063829787,10.765957447,2.2978723404,8.3617021277,2.0212765957,11.531914894,0.85106382979,1.2978723404,2.4468085106,5,25.170212766
7095,32.181818182,32.428571429,0.79591836735,1.5102040816,2.3265306122,0.48979591837,3.1428571429,9.8979591837,8.387755102,10.244897959,14.428571429,15.020408163,5.1428571429,8.5510204082,1.612244898,9.612244898,2.693877551,5.2448979592,4.3469387755,3.1020408163,32.918367347
7119,72.354166667,57.916666667,2.3541666667,25.4375,5.5208333333,0.14583333333,0.16666666667,4.8125,5.1041666667,2.3125,0.33333333333,8,11.0625,2.5833333333,0.16666666667,13.104166667,2.3125,1.4166666667,2.9583333333,17.958333333,32.1875
7122,64.239130435,52.346938776,2.2244897959,21.612244898,7.1020408163,0.51020408163,0.020408163265,5.8163265306,11,4.0408163265,3,6.7959183673,6.4081632653,2.2040816327,1.0408163265,8.9591836735,1.2857142857,0,2.7959183673,11.87755102,29.285714286
7127,39.794117647,55.235294118,4.7647058824,18.323529412,1.4411764706,1.8823529412,3.7352941176,18.441176471,4.6176470588,9.1764705882,4.3529411765,3.3529411765,6.9117647059,4.9705882353,0,1.5588235294,3.6176470588,4.3823529412,4.2647058824,5.2352941176,5.1764705882
7136,51.630434783,64.673913043,18.47826087,34.369565217,5.7391304348,0.78260869565,1.1739130435,25.913043478,1.152173913,3.4130434783,5.0217391304,1.9782608696,10.543478261,0.32608695652,0.80434782609,0.10869565217,1.1956521739,3.9347826087,3.2391304348,7.9130434783,7.5652173913
7144,51.202797203,39.184782609,1.5326086957,3.9456521739,1.5,8.2391304348,5.0543478261,8.402173913,5.5869565217,4.597826087,17.695652174,5.3695652174,9.1195652174,11.565217391,1.7282608696,2.9347826087,3.1956521739,10.065217391,1.7826086957,1.8260869565,17.206521739
7147,35.555555556,54.583333333,1.4166666667,9.5277777778,4.9722222222,2.4722222222,1.3611111111,3.5277777778,9.25,4.0277777778,5.9166666667,5.1666666667,3.4444444444,3.2222222222,0.72222222222,0.25,1.6666666667,1.1666666667,2.2222222222,4.5277777778,26.583333333
7150,25.088888889,45.47826087,4.5217391304,12.782608696,7.1304347826,0.95652173913,1,7.2173913043,3.347826087,4.6086956522,4.652173913,6.7391304348,8.652173913,3.1304347826,2.0434782609,1.1739130435,5.1739130435,4.7826086957,1.8695652174,12.913043478,11.086956522
7151,64.225,39.574468085,1.5106382979,11.957446809,3.9574468085,0.21276595745,1.5957446809,4.5106382979,7.0212765957,5.9361702128,4.6595744681,9.2765957447,2.2127659574,11.978723404,3.3191489362,11.489361702,2.914893617,4.170212766,3.1063829787,3.8510638298,29.489361702
7165,64.933333333,58.8,1.1111111111,27.355555556,15.177777778,0.022222222222,0.93333333333,3.5555555556,10.4,5.3333333333,1.4444444444,11.444444444,5.8222222222,1.4,2.7111111111,3.7333333333,2.1111111111,2.3333333333,3.4666666667,8.7555555556,29.177777778
7194,19.588235294,54.605263158,0,12.263157895,0.28947368421,0,0.78947368421,4.1315789474,4.5526315789,3.5526315789,0.26315789474,3.8684210526,2.8947368421,4.0789473684,0.39473684211,1.8947368421,0,1.5,2.2105263158,25.763157895,11.052631579
7288,58.578947368,43.552631579,0.026315789474,4.1842105263,1.9210526316,0.026315789474,0.026315789474,3.7368421053,1.4210526316,7.5789473684,2.3157894737,9.9736842105,0.63157894737,3.4736842105,0.86842105263,8.4473684211,0.97368421053,2.6578947368,1.2894736842,3.1842105263,43.947368421
7335,74.291666667,29.208333333,2.6458333333,2.3333333333,1.4791666667,6.7291666667,10.958333333,7.8958333333,5.2916666667,15.0625,6.4791666667,10.416666667,2.9791666667,10.854166667,5.2708333333,4.0833333333,2.2083333333,5.0208333333,6.4791666667,1.2708333333,18.125
7341,33.156862745,50.322580645,3.6774193548,12.870967742,8.4516129032,0.032258064516,0.032258064516,2.064516129,1,12.35483871,4.3870967742,6.6129032258,3.3548387097,10.387096774,7.6129032258,2.064516129,1.4838709677,1.8709677419,4.4838709677,8.7419354839,12.129032258
